,Site,Index,Latitude,Longitude,Climate,Population Status,Weight,Height,Wing Chord,Colour,Sex,Nesting Site,Nesting Height,Number of Eggs,Egg Weight,Flock,Home Range,Flock Size,Predator Presence,Predator Type
188,Australia,AU,-25,135,Continental,Introduced,30.34,12.42,6.72,Brown,Female,Tree,797.53,0,  NA,E,Small,17,Yes,Non-Avian
189,Australia,AU,-25,135,Continental,Introduced,30.67,12.74,6.77,Black,Female,Tree,670.19,0,  NA,E,Small,17,Yes,Non-Avian
190,Australia,AU,-25,135,Continental,Introduced,31.62,13.7,6.92,Brown,Female,Tree,928.7,1,3.48,E,Small,17,Yes,Non-Avian
191,Australia,AU,-25,135,Continental,Introduced,32.54,13.12,6.83,Black,Male,NA,     NA,   NA,  NA,C,Small,16,Yes,Non-Avian
192,Australia,AU,-25,135,Continental,Introduced,34.94,15.52,7.19,Grey,Male,NA,     NA,   NA,  NA,B,Large,23,Yes,Non-Avian
193,Australia,AU,-25,135,Continental,Introduced,34.49,15.07,7.12,Grey,Male,NA,     NA,   NA,  NA,A,Small,17,Yes,Non-Avian
194,Australia,AU,-25,135,Continental,Introduced,32.79,13.37,6.87,Grey,Male,NA,     NA,   NA,  NA,B,Large,23,Yes,Non-Avian
195,Australia,AU,-25,135,Continental,Introduced,32.65,14.73,7.07,Black,Female,Shrub,47.94,1,3.45,E,Small,17,Yes,Non-Avian
196,Australia,AU,-25,135,Continental,Introduced,34.5,15.07,7.12,Grey,Male,NA,     NA,   NA,  NA,A,Small,17,Yes,Non-Avian
197,Australia,AU,-25,135,Continental,Introduced,32.33,14.41,7.02,Black,Female,Tree,416.73,1,3.23,E,Small,17,Yes,Non-Avian
198,Australia,AU,-25,135,Continental,Introduced,33.93,14.51,7.04,Grey,Male,NA,     NA,   NA,  NA,A,Small,17,Yes,Non-Avian
199,Australia,AU,-25,135,Continental,Introduced,33.25,15.33,7.16,Black,Female,Tree,830.44,0,  NA,D,Small,15,Yes,Non-Avian
200,Australia,AU,-25,135,Continental,Introduced,33.1,13.67,6.91,Grey,Male,NA,     NA,   NA,  NA,B,Large,23,Yes,Non-Avian
201,Australia,AU,-25,135,Continental,Introduced,31.66,13.74,6.92,Black,Female,Tree,740.62,1,3.43,D,Small,15,Yes,Non-Avian
202,Australia,AU,-25,135,Continental,Introduced,33.03,15.11,7.13,Black,Female,Tree,1406.22,1,3.42,C,Small,16,Yes,Non-Avian
203,Australia,AU,-25,135,Continental,Introduced,32.29,12.86,6.79,Grey,Male,NA,     NA,   NA,  NA,B,Large,23,Yes,Non-Avian
204,Australia,AU,-25,135,Continental,Introduced,33.76,14.34,7.01,Grey,Male,NA,     NA,   NA,  NA,A,Small,17,Yes,Non-Avian
205,Australia,AU,-25,135,Continental,Introduced,32.05,14.12,6.98,Black,Female,Tree,1354.22,1,3.39,D,Small,15,Yes,Non-Avian
206,Australia,AU,-25,135,Continental,Introduced,32.54,14.62,7.05,Black,Female,Tree,974.77,1,3.39,D,Small,15,Yes,Non-Avian
207,Australia,AU,-25,135,Continental,Introduced,33.1,15.18,7.14,Brown,Female,Tree,602.13,0,  NA,E,Small,17,Yes,Non-Avian
208,Australia,AU,-25,135,Continental,Introduced,32.34,14.42,7.02,Brown,Female,Tree,1315.22,1,3.39,E,Small,17,Yes,Non-Avian
209,Australia,AU,-25,135,Continental,Introduced,32.31,14.39,7.02,Black,Female,Shrub,45.45,1,3.51,C,Small,16,Yes,Non-Avian
210,Australia,AU,-25,135,Continental,Introduced,32.82,14.9,7.1,Black,Female,Tree,1298.12,1,3.25,C,Small,16,Yes,Non-Avian
211,Australia,AU,-25,135,Continental,Introduced,34.79,15.37,7.17,Grey,Male,NA,     NA,   NA,  NA,A,Small,17,Yes,Non-Avian
212,Australia,AU,-25,135,Continental,Introduced,33.96,14.54,7.04,Grey,Male,NA,     NA,   NA,  NA,A,Small,17,Yes,Non-Avian
213,Australia,AU,-25,135,Continental,Introduced,31.09,13.17,6.84,Black,Female,Tree,1254.7,0,  NA,D,Small,15,Yes,Non-Avian
214,Australia,AU,-25,135,Continental,Introduced,31.92,14,6.96,Black,Female,Tree,1257.78,1,3.4,D,Small,15,Yes,Non-Avian
215,Australia,AU,-25,135,Continental,Introduced,33.81,15.89,7.24,Black,Female,Tree,876.75,1,3.4,D,Small,15,Yes,Non-Avian
216,Australia,AU,-25,135,Continental,Introduced,31.72,13.8,6.93,Black,Female,Tree,1246.93,0,  NA,D,Small,15,Yes,Non-Avian
217,Australia,AU,-25,135,Continental,Introduced,34.27,14.84,7.09,Grey,Male,NA,     NA,   NA,  NA,B,Large,23,Yes,Non-Avian
218,Australia,AU,-25,135,Continental,Introduced,34.8,15.38,7.17,Grey,Male,NA,     NA,   NA,  NA,A,Small,17,Yes,Non-Avian
219,Australia,AU,-25,135,Continental,Introduced,32.87,14.95,7.1,Brown,Female,Tree,1455.13,1,3.59,E,Small,17,Yes,Non-Avian
220,Australia,AU,-25,135,Continental,Introduced,32.07,14.15,6.98,Black,Female,Tree,1013.39,0,  NA,E,Small,17,Yes,Non-Avian
221,Australia,AU,-25,135,Continental,Introduced,33.8,14.37,7.02,Grey,Male,NA,     NA,   NA,  NA,B,Large,23,Yes,Non-Avian
222,Australia,AU,-25,135,Continental,Introduced,32.69,13.27,6.85,Black,Male,NA,     NA,   NA,  NA,C,Small,16,Yes,Non-Avian
223,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.95,14.57,7.09,Brown,Female,Tree,1075.86,3,2.76,C,Small,21,No,NA
224,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.7,13.81,6.97,Brown,Male,NA,     NA,   NA,  NA,A,Small,15,No,NA
225,Reunion,RE,-21.1,55.6,Coastal,Introduced,32.13,15.25,7.19,Brown,Male,NA,     NA,   NA,  NA,B,Small,16,No,NA
226,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.83,14.95,7.14,Brown,Male,NA,     NA,   NA,  NA,B,Small,16,No,NA
227,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.37,15.99,7.3,Grey,Female,Shrub,48.25,3,2.61,E,Large,29,No,NA
228,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.93,15.05,7.16,Brown,Male,NA,     NA,   NA,  NA,B,Small,16,No,NA
229,Reunion,RE,-21.1,55.6,Coastal,Introduced,28.46,13.08,6.86,Black,Female,Shrub,36.86,3,2.9,D,Small,14,No,NA
230,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.52,14.14,7.02,Grey,Female,Shrub,58.37,3,2.84,E,Large,29,No,NA
231,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.63,16.25,7.34,Grey,Female,Tree,810.13,4,3.05,E,Large,29,No,NA
232,Reunion,RE,-21.1,55.6,Coastal,Introduced,33.01,16.13,7.32,Brown,Male,NA,     NA,   NA,  NA,A,Small,15,No,NA
233,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.3,14.92,7.14,Black,Female,Shrub,53.94,3,2.86,D,Small,14,No,NA
234,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.25,14.37,7.05,Brown,Male,NA,     NA,   NA,  NA,B,Small,16,No,NA
235,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.62,14.74,7.11,Brown,Male,NA,     NA,   NA,  NA,A,Small,15,No,NA
236,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.69,14.31,7.05,Grey,Female,Tree,1311.9,2,2.46,E,Large,29,No,NA
237,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.27,14.39,7.06,Brown,Male,NA,     NA,   NA,  NA,C,Small,21,No,NA
238,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.41,14.53,7.08,Brown,Male,NA,     NA,   NA,  NA,C,Small,21,No,NA
239,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.9,15.52,7.23,Grey,Female,Tree,1208.59,3,2.68,E,Large,29,No,NA
240,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.69,14.31,7.05,Brown,Female,Tree,1572.47,4,3.1,C,Small,21,No,NA
241,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.64,14.26,7.04,Grey,Female,Shrub,69.53,4,3.07,E,Large,29,No,NA
242,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.45,14.07,7.01,Black,Female,Tree,1241.25,3,2.83,D,Small,14,No,NA
243,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.28,15.9,7.28,Black,Female,Shrub,55.34,3,2.72,D,Small,14,No,NA
244,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.9,14.52,7.08,Grey,Female,Shrub,25.78,3,2.8,E,Large,29,No,NA
245,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.05,15.67,7.25,Brown,Female,Tree,551.56,3,2.71,C,Small,21,No,NA
246,Reunion,RE,-21.1,55.6,Coastal,Introduced,32.53,15.65,7.25,Brown,Male,NA,     NA,   NA,  NA,C,Small,21,No,NA
247,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.33,14.95,7.14,Black,Female,Shrub,41.8,3,2.73,D,Small,14,No,NA
248,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.45,14.07,7.01,Grey,Female,Shrub,73.45,3,2.75,E,Large,29,No,NA
249,Reunion,RE,-21.1,55.6,Coastal,Introduced,32.49,15.61,7.24,Brown,Male,NA,     NA,   NA,  NA,C,Small,21,No,NA
250,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.65,15.27,7.19,Grey,Female,Tree,925.4,3,2.95,E,Large,29,No,NA
251,Reunion,RE,-21.1,55.6,Coastal,Introduced,28.81,13.43,6.91,Brown,Female,Tree,1663.79,3,2.71,C,Small,21,No,NA
252,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.98,15.6,7.24,Brown,Female,Tree,1621.9,3,2.7,C,Small,21,No,NA
253,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.89,14.51,7.08,Brown,Female,Tree,1198.31,3,2.66,C,Small,21,No,NA
254,Reunion,RE,-21.1,55.6,Coastal,Introduced,32.29,15.41,7.21,Brown,Male,NA,     NA,   NA,  NA,B,Small,16,No,NA
255,Reunion,RE,-21.1,55.6,Coastal,Introduced,28.98,13.6,6.94,Grey with black spots,Female,Tree,1005.5,4,3.03,E,Large,29,No,NA
256,Reunion,RE,-21.1,55.6,Coastal,Introduced,28.26,12.88,6.83,Black,Female,Tree,1134.07,3,2.75,D,Small,14,No,NA
257,Reunion,RE,-21.1,55.6,Coastal,Introduced,32.1,15.22,7.18,Brown,Male,NA,     NA,   NA,  NA,C,Small,21,No,NA
258,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.33,13.95,6.99,Grey,Female,Tree,984.2,3,2.98,E,Large,29,No,NA
259,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.01,14.13,7.02,Brown,Male,NA,     NA,   NA,  NA,C,Small,21,No,NA
260,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.67,15.29,7.19,Black,Female,Shrub,71.65,3,2.98,D,Small,14,No,NA
261,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.77,13.89,6.98,Brown,Male,NA,     NA,   NA,  NA,B,Small,16,No,NA
262,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.6,13.72,6.96,Brown,Male,NA,     NA,   NA,  NA,A,Small,15,No,NA
263,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.08,15.7,7.25,Bright black,Female,Tree,1012.02,3,2.84,E,Large,29,No,NA
264,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.42,14.54,7.08,Brown,Male,NA,     NA,   NA,  NA,B,Small,16,No,NA
265,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.03,15.65,7.25,Brown,Female,Tree,1059.16,3,2.66,C,Small,21,No,NA
266,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.55,126.7,6.8,Brown,Male,NA,     NA,   NA,  NA,A,Small,15,No,NA
267,Reunion,RE,-21.1,55.6,Coastal,Introduced,28.92,135.4,6.93,Grey,Female,Shrub,53.5,3,2.97,E,Large,29,No,NA
268,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.38,1.35,6.92,Brown,Male,NA,     NA,   NA,  NA,A,Small,15,No,NA
269,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.84,1.446,7.07,Grey,Female,Tree,1407.76,3,2.9,E,Large,29,No,NA
270,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.36,13.98,7,Grey,Female,Tree,984.53,2,2.53,E,Large,29,No,NA
271,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.46,15.08,7.16,Black,Female,Tree,964.87,3,2.97,D,Small,14,No,NA
272,Reunion,RE,-21.1,55.6,Coastal,Introduced,27.94,12.56,6.78,Brown,Female,Tree,900.79,3,2.75,C,Small,21,No,NA
273,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.57,13.69,6.95,Brown,Male,NA,     NA,   NA,  NA,B,Small,16,No,NA
274,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.11,13.73,6.96,Black,Female,Shrub,45.24,3,2.93,D,Small,14,No,NA
275,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.66,14.28,7.04,Grey,Female,Tree,1539.29,2,2.57,E,Large,29,No,NA
276,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.17,14.79,7.12,Grey,Female,Tree,1057.81,2,2.42,E,Large,29,No,NA
277,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.71,16.33,7.35,Grey,Female,Shrub,50.75,3,2.89,E,Large,29,No,NA
278,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.64,13.76,6.96,Brown,Male,NA,     NA,   NA,  NA,C,Small,21,No,NA
279,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.69,13.8,6.97,Brown,Male,NA,     NA,   NA,  NA,A,Small,15,No,NA
280,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.93,15.05,7.16,Grey,Male,NA,     NA,   NA,  NA,A,Small,15,No,NA
281,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.58,14.2,7.03,Grey,Female,Tree,1457.67,3,2.64,E,Large,29,No,NA
282,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.09,15.71,7.25,Black,Female,Shrub,44.32,3,2.67,D,Small,14,No,NA
283,Reunion,RE,-21.1,55.6,Coastal,Introduced,28.67,13.29,6.89,Brown,Female,Tree,1450.89,3,2.91,C,Small,21,No,NA
284,Reunion,RE,-21.1,55.6,Coastal,Introduced,32.3,15.42,7.21,Brown,Male,NA,     NA,   NA,  NA,A,Small,15,No,NA
285,Reunion,RE,-21.1,55.6,Coastal,Introduced,28.42,13.04,6.86,Grey,Female,Shrub,45.52,3,2.63,E,Large,29,No,NA
286,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.8,16.42,7.36,Grey,Female,Shrub,47.54,2,2.59,E,Large,29,No,NA
287,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.37,14.49,7.07,Brown,Male,NA,     NA,   NA,  NA,B,Small,16,No,NA
288,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.51,14.13,7.02,Black,Female,Tree,1207.51,3,2.99,D,Small,14,No,NA
289,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.84,13.96,6.99,Brown,Male,NA,     NA,   NA,  NA,A,Small,15,No,NA
290,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.63,15.25,7.19,Brown,Female,Shrub,62.48,3,2.76,C,Small,21,No,NA
291,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.26,14.88,7.13,Grey,Female,Tree,900.97,3,2.98,E,Large,29,No,NA
292,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.57,14.19,7.03,Grey,Female,Shrub,44.34,2,2.38,E,Large,29,No,NA
293,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.4,14.52,7.08,Brown,Male,NA,     NA,   NA,  NA,B,Small,16,No,NA
294,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.25,13.87,6.98,Black,Female,Tree,1439.56,2,2.55,D,Small,14,No,NA
295,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.28,13.4,6.91,Brown,Male,NA,     NA,   NA,  NA,C,Small,21,No,NA
296,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.42,14.54,7.08,Brown,Male,NA,     NA,   NA,  NA,B,Small,16,No,NA
297,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.46,15.08,7.16,Grey,Female,Shrub,43.49,2,2.55,E,Large,29,No,NA
298,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.37,13.99,7,Black,Female,Tree,1318.44,3,2.74,D,Small,14,No,NA
299,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.48,14.6,7.09,Brown,Male,NA,     NA,   NA,  NA,B,Small,16,No,NA
300,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.57,13.69,6.95,Brown,Male,NA,     NA,   NA,  NA,C,Small,21,No,NA
301,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.44,13.56,6.93,Brown,Male,NA,     NA,   NA,  NA,B,Small,16,No,NA
302,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.19,14.31,7.04,Brown,Male,NA,     NA,   NA,  NA,A,Small,15,No,NA
303,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.02,15.64,7.25,Grey,Female,Tree,675.19,3,2.64,E,Large,29,No,NA
304,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.52,14.14,7.02,Black,Female,Tree,1434.06,3,2.86,D,Small,14,No,NA
305,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.16,13.78,6.97,Brown,Female,Tree,1053.71,2,2.36,C,Small,21,No,NA
306,Reunion,RE,-21.1,55.6,Coastal,Introduced,28.27,12.89,6.83,Grey,Female,Shrub,40.75,2,2.59,E,Large,29,No,NA
307,Reunion,RE,-21.1,55.6,Coastal,Introduced,28.7,13.32,6.9,Grey,Female,Tree,1368.18,2,2.59,E,Large,29,No,NA
308,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.93,13.05,6.86,Brown,Male,NA,     NA,   NA,  NA,A,Small,15,No,NA
309,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.4,13.52,6.93,Brown,Male,NA,     NA,   NA,  NA,A,Small,15,No,NA
310,Reunion,RE,-21.1,55.6,Coastal,Introduced,28.61,13.23,6.88,Grey,Female,Tree,736.03,3,2.7,E,Large,29,No,NA
311,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.61,14.73,7.11,Brown,Male,NA,     NA,   NA,  NA,B,Small,16,No,NA
312,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.54,14.16,7.02,Grey,Female,Tree,481.23,3,2.81,E,Large,29,No,NA
313,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.96,13.08,6.86,Brown,Male,NA,     NA,   NA,  NA,A,Small,15,No,NA
314,Reunion,RE,-21.1,55.6,Coastal,Introduced,30.44,13.56,6.93,Brown,Male,NA,     NA,   NA,  NA,A,Small,15,No,NA
315,Reunion,RE,-21.1,55.6,Coastal,Introduced,29.9,14.52,7.08,Brown,Female,Tree,1301.4,4,3.11,C,Small,21,No,NA
316,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.85,14.97,7.14,Brown,Male,NA,     NA,   NA,  NA,B,Small,16,No,NA
317,Reunion,RE,-21.1,55.6,Coastal,Introduced,31.93,15.05,7.16,Brown,Male,NA,     NA,   NA,  NA,B,Small,16,No,NA
318,Nunavut,NU,70,-90,Coastal,Introduced,31.95,12.58,6.61,Grey,Male,NA,     NA,   NA,  NA,B,Medium,17,Yes,Non-Avian
319,Nunavut,NU,70,-90,Coastal,Introduced,32.68,14.81,6.95,Black,Female,Tree,705.7,1,2.68,D,Large,7,Yes,Non-Avian
320,Nunavut,NU,70,-90,Coastal,Introduced,30.04,12.17,6.55,Brown,Female,Tree,1484.53,2,3.12,E,Large,16,Yes,Non-Avian
321,Nunavut,NU,70,-90,Coastal,Introduced,32.87,13.49,6.75,Grey,Male,NA,     NA,   NA,  NA,B,Medium,17,Yes,Non-Avian
322,Nunavut,NU,70,-90,Coastal,Introduced,34.51,15.13,7,Grey,Male,NA,     NA,   NA,  NA,A,Large,11,Yes,Non-Avian
323,Nunavut,NU,70,-90,Coastal,Introduced,30.69,12.82,6.65,Black,Female,Shrub,32.39,1,2.59,D,Large,7,Yes,Non-Avian
324,Nunavut,NU,70,-90,Coastal,Introduced,30.82,12.95,6.67,Black,Female,Tree,560.58,2,2.86,C,Medium,13,Yes,Non-Avian
325,Nunavut,NU,70,-90,Coastal,Introduced,30.66,12.79,6.65,Black,Female,Tree,1024.55,2,3.19,E,Large,16,Yes,Non-Avian
326,Nunavut,NU,70,-90,Coastal,Introduced,31.01,13.14,6.7,Brown,Female,Tree,1599,1,2.72,E,Large,16,Yes,Non-Avian
327,Nunavut,NU,70,-90,Coastal,Introduced,32.93,13.56,6.76,Grey,Male,NA,     NA,   NA,  NA,A,Large,11,Yes,Non-Avian
328,Nunavut,NU,70,-90,Coastal,Introduced,34.02,14.65,6.92,Grey,Male,NA,     NA,   NA,  NA,B,Medium,17,Yes,Non-Avian
329,Nunavut,NU,70,-90,Coastal,Introduced,31.99,12.62,6.62,Black,Male,NA,     NA,   NA,  NA,C,Medium,13,Yes,Non-Avian
330,Nunavut,NU,70,-90,Coastal,Introduced,31.72,12.34,6.58,Grey,Male,NA,     NA,   NA,  NA,B,Medium,17,Yes,Non-Avian
331,Nunavut,NU,70,-90,Coastal,Introduced,31.14,13.27,6.72,Black,Female,Tree,788.98,1,2.75,C,Medium,13,Yes,Non-Avian
332,Nunavut,NU,70,-90,Coastal,Introduced,31.72,12.35,6.58,Grey,Male,NA,     NA,   NA,  NA,B,Medium,17,Yes,Non-Avian
333,Nunavut,NU,70,-90,Coastal,Introduced,32.66,13.28,6.72,Grey,Male,NA,     NA,   NA,  NA,B,Medium,17,Yes,Non-Avian
334,Nunavut,NU,70,-90,Coastal,Introduced,32.2,12.83,6.65,Grey,Male,NA,     NA,   NA,  NA,B,Medium,17,Yes,Non-Avian
335,Nunavut,NU,70,-90,Coastal,Introduced,29.11,11.24,6.41,Black,Female,Shrub,65.77,1,2.72,E,Large,16,Yes,Non-Avian
336,Nunavut,NU,70,-90,Coastal,Introduced,31.54,13.66,6.78,Black,Female,Shrub,26.17,1,2.79,C,Medium,13,Yes,Non-Avian
337,Nunavut,NU,70,-90,Coastal,Introduced,31.04,13.16,6.7,Black,Female,Tree,834.74,2,2.87,E,Large,16,Yes,Non-Avian
338,Nunavut,NU,70,-90,Coastal,Introduced,32.2,14.32,6.88,Brown,Female,Tree,777.62,2,3.09,E,Large,16,Yes,Non-Avian
339,Nunavut,NU,70,-90,Coastal,Introduced,32.24,14.36,6.88,Black,Female,Tree,899.98,1,2.68,D,Large,7,Yes,Non-Avian
340,Nunavut,NU,70,-90,Coastal,Introduced,34.26,14.89,6.96,Grey,Male,NA,     NA,   NA,  NA,B,Medium,17,Yes,Non-Avian
341,Nunavut,NU,70,-90,Coastal,Introduced,33.5,14.13,6.85,Grey,Male,NA,     NA,   NA,  NA,B,Medium,17,Yes,Non-Avian
342,Nunavut,NU,70,-90,Coastal,Introduced,33.61,14.24,6.86,Grey,Male,NA,     NA,   NA,  NA,A,Large,11,Yes,Non-Avian
343,Nunavut,NU,70,-90,Coastal,Introduced,32.5,13.13,6.7,Black,Male,NA,     NA,   NA,  NA,C,Medium,13,Yes,Non-Avian
344,Nunavut,NU,70,-90,Coastal,Introduced,34.21,14.84,6.95,Grey,Male,NA,     NA,   NA,  NA,C,Medium,13,Yes,Non-Avian
345,Nunavut,NU,70,-90,Coastal,Introduced,32.79,14.92,6.97,Brown,Female,Tree,1048.34,1,2.63,E,Large,16,Yes,Non-Avian
346,Nunavut,NU,70,-90,Coastal,Introduced,32.14,12.77,6.64,Grey,Male,NA,     NA,   NA,  NA,A,Large,11,Yes,Non-Avian
347,Nunavut,NU,70,-90,Coastal,Introduced,30.44,12.57,6.61,Brown,Female,Tree,1429.67,1,2.81,E,Large,16,Yes,Non-Avian
348,Nunavut,NU,70,-90,Coastal,Introduced,33.11,13.74,6.79,Black,Male,NA,     NA,   NA,  NA,C,Medium,13,Yes,Non-Avian
349,Nunavut,NU,70,-90,Coastal,Introduced,33.91,14.53,6.91,Grey,Male,NA,     NA,   NA,  NA,A,Large,11,Yes,Non-Avian
350,Nunavut,NU,70,-90,Coastal,Introduced,35.01,15.64,7.07,Grey,Male,NA,     NA,   NA,  NA,B,Medium,17,Yes,Non-Avian
351,Nunavut,NU,70,-90,Coastal,Introduced,34.01,14.64,6.92,Grey,Male,NA,     NA,   NA,  NA,A,Large,11,Yes,Non-Avian
352,Nunavut,NU,70,-90,Coastal,Introduced,34.27,14.9,6.96,Grey,Male,NA,     NA,   NA,  NA,A,Large,11,Yes,Non-Avian
353,Nunavut,NU,70,-90,Coastal,Introduced,33.75,14.37,6.88,Black,Male,NA,     NA,   NA,  NA,C,Medium,13,Yes,Non-Avian
354,Nunavut,NU,70,-90,Coastal,Introduced,30.29,12.41,6.59,Black,Female,Tree,719.38,1,2.63,C,Medium,13,Yes,Non-Avian
355,Nunavut,NU,70,-90,Coastal,Introduced,29.3,11.42,6.44,Black,Female,Tree,621.86,1,2.82,C,Medium,13,Yes,Non-Avian
356,Nunavut,NU,70,-90,Coastal,Introduced,31.03,11.66,6.48,Grey,Male,NA,     NA,   NA,  NA,B,Medium,17,Yes,Non-Avian
357,Nunavut,NU,70,-90,Coastal,Introduced,32.65,13.28,6.72,Grey,Male,NA,     NA,   NA,  NA,B,Medium,17,Yes,Non-Avian
358,Nunavut,NU,70,-90,Coastal,Introduced,32.85,14.97,6.97,Black,Female,Tree,944.86,1,2.72,E,Large,16,Yes,Non-Avian
359,Nunavut,NU,70,-90,Coastal,Introduced,31.99,12.62,6.62,Grey,Male,NA,     NA,   NA,  NA,B,Medium,17,Yes,Non-Avian
360,Nunavut,NU,70,-90,Coastal,Introduced,31.22,13.35,6.73,Black,Female,Shrub,46.05,0,  NA,E,Large,16,Yes,Non-Avian
361,Nunavut,NU,70,-90,Coastal,Introduced,33.19,15.32,7.03,Black,Female,Tree,624.88,2,2.89,C,Medium,13,Yes,Non-Avian
362,Nunavut,NU,70,-90,Coastal,Introduced,30.84,12.97,6.67,Brown,Female,Shrub,70.67,1,2.79,E,Large,16,Yes,Non-Avian
363,Nunavut,NU,70,-90,Coastal,Introduced,31.86,13.98,6.83,Black,Female,Shrub,35.96,2,3.02,C,Medium,13,Yes,Non-Avian
364,Nunavut,NU,70,-90,Coastal,Introduced,30.41,12.54,6.61,Black,Female,Tree,951.35,2,3.03,D,Large,7,Yes,Non-Avian
365,Nunavut,NU,70,-90,Coastal,Introduced,32.34,12.96,6.67,Grey,Male,NA,     NA,   NA,  NA,A,Large,11,Yes,Non-Avian
366,Nunavut,NU,70,-90,Coastal,Introduced,30.57,12.7,6.63,Black,Female,Tree,790.94,2,3.14,D,Large,7,Yes,Non-Avian
367,Nunavut,NU,70,-90,Coastal,Introduced,31.23,13.35,6.73,Black,Female,Tree,235.61,2,2.99,D,Large,7,Yes,Non-Avian
368,Nunavut,NU,70,-90,Coastal,Introduced,34.26,14.89,6.96,Grey,Male,NA,     NA,   NA,  NA,B,Medium,17,Yes,Non-Avian
369,Nunavut,NU,70,-90,Coastal,Introduced,31.48,13.61,6.77,Black,Female,Tree,1084.29,2,3.01,C,Medium,13,Yes,Non-Avian
370,Nunavut,NU,70,-90,Coastal,Introduced,32.32,14.44,6.89,Brown,Female,Tree,909.23,1,2.78,E,Large,16,Yes,Non-Avian
